Call_ID                             ,Speaker,Conversation                                                                                                                                                                                                                                                                                                                         ,Start,End
4,1,12 Boston St.                                                                                                                                                                                                                                                                                                                        ,101,103
4,1,Fund way.                                                                                                                                                                                                                                                                                                                            ,104,108
4,2,Thank you.                                                                                                                                                                                                                                                                                                                           ,109,113
4,2,And your mobile phone number.                                                                                                                                                                                                                                                                                                        ,114,115
4,2,Please.                                                                                                                                                                                                                                                                                                                              ,116,119
4,1,54103554 05                                                                                                                                                                                                                                                                                                                          ,120,123
4,1,right                                                                                                                                                                                                                                                                                                                                ,124,129
4,2,Perfect.                                                                                                                                                                                                                                                                                                                             ,130,135
4,2,So we're sending the access code to that number for future interactions and references.                                                                                                                                                                                                                                              ,136,137
4,2,You should receive it within the next 30 seconds or so.                                                                                                                                                                                                                                                                              ,138,140
4,2,But since you've already confirmed these details.                                                                                                                                                                                                                                                                                    ,141,142
4,2,How can I assist you today.                                                                                                                                                                                                                                                                                                          ,143,146
4,1,Alright when I set the card up.                                                                                                                                                                                                                                                                                                      ,147,148
4,1,Apparently I made a memorable word.                                                                                                                                                                                                                                                                                                  ,149,154
4,1,And obviously I've forgotten the memorable word.                                                                                                                                                                                                                                                                                     ,155,156
4,1,Sorry I locked out my card.                                                                                                                                                                                                                                                                                                          ,157,161
4,2,Okay.                                                                                                                                                                                                                                                                                                                                ,162,167
4,2,We don't actually have that as an available feature anymore if you're still trying to log in to the old log in page you won't be able to log in if you wanted to manage your account online.                                                                                                                                         ,168,170
4,2,We you would want to create an account for auspost dot com dot.                                                                                                                                                                                                                                                                      ,171,175
4,2,A You.                                                                                                                                                                                                                                                                                                                               ,176,178
4,2,It's absolutely free.                                                                                                                                                                                                                                                                                                                ,179,183
4,2,And basically just go on to the site and create an account.                                                                                                                                                                                                                                                                          ,184,188
4,2,From there.                                                                                                                                                                                                                                                                                                                          ,189,192
4,2,Once it's active.                                                                                                                                                                                                                                                                                                                    ,193,197
4,2,You just then go into the signing or log in the area and then choose load and go from the drop down option.                                                                                                                                                                                                                          ,198,203
4,1,Okay.                                                                                                                                                                                                                                                                                                                                ,204,208
4,2,After that you'll be able to manage your current services online.                                                                                                                                                                                                                                                                    ,209,211
4,1,And I will be locked out any way.                                                                                                                                                                                                                                                                                                    ,212,217
4,2,"ummm, No your account should is in working order.                                                                                                                                                                                                                                                                                  ",218,223
4,2,It's just that the site has been migrated since June.                                                                                                                                                                                                                                                                                ,224,228
4,1,Okay.                                                                                                                                                                                                                                                                                                                                ,229,233
4,2,Is there anything else I can assist you with                                                                                                                                                                                                                                                                                         ,234,238
4,1,That.                                                                                                                                                                                                                                                                                                                                ,239,242
4,1,Thank you.                                                                                                                                                                                                                                                                                                                           ,243,244
4,2,And thank you for calling australia post load and go support and I hope you have a great day.                                                                                                                                                                                                                                        ,245,250
4,1,You too thanks.                                                                                                                                                                                                                                                                                                                      ,251,255
4,2,You're welcome.                                                                                                                                                                                                                                                                                                                      ,256,258
4,2,Bye                                                                                                                                                                                                                                                                                                                                  ,259,264
5,1,Welcome to australia post load and go support.                                                                                                                                                                                                                                                                                       ,1,4
5,1,My name is Archie may have your card ID number please                                                                                                                                                                                                                                                                                ,5,10
5,2,243 63797.                                                                                                                                                                                                                                                                                                                           ,11,15
5,2,222763,16,19
5,2,Alright.                                                                                                                                                                                                                                                                                                                             ,20,24
5,1,Thank you so much let me go ahead and pull up the account.                                                                                                                                                                                                                                                                           ,25,28
5,1,One moment please.                                                                                                                                                                                                                                                                                                                   ,29,32
5,1,Can have the access code please it's the six digit number                                                                                                                                                                                                                                                                            ,33,37
5,2,On the card.                                                                                                                                                                                                                                                                                                                         ,38,41
5,1,its on  the card its the six digit number you know nominate when you purchased the card.                                                                                                                                                                                                                                             ,42,46
5,1,.                                                                                                                                                                                                                                                                                                                                    ,47,50
5,2,696969,51,52
5,1,Four I'm sorry it's the correct numbers it's not that.                                                                                                                                                                                                                                                                               ,53,55
5,1,it's a different format.                                                                                                                                                                                                                                                                                                             ,56,61
5,2,669-9664.                                                                                                                                                                                                                                                                                                                            ,62,67
5,1,I'm sorry can I just have your first and last name please                                                                                                                                                                                                                                                                            ,68,71
5,2,Andrew Oliver.                                                                                                                                                                                                                                                                                                                       ,72,74
5,1,Thank you and your date of birth.                                                                                                                                                                                                                                                                                                    ,75,76
5,1,Please.                                                                                                                                                                                                                                                                                                                              ,77,82
5,2,26 july 91                                                                                                                                                                                                                                                                                                                           ,83,85
5,1,And your email address please.                                                                                                                                                                                                                                                                                                       ,86,88
5,2,is it andrew.ezabethgraham.com one or                                                                                                                                                                                                                                                                                                ,89,94
5,1,It's vicos.com.                                                                                                                                                                                                                                                                                                                      ,95,98
5,1,Would you remember                                                                                                                                                                                                                                                                                                                   ,99,102
5,2,Costs                                                                                                                                                                                                                                                                                                                                ,103,104
5,1,bikos dot com.                                                                                                                                                                                                                                                                                                                       ,105,108
5,2,Yeah.                                                                                                                                                                                                                                                                                                                                ,109,111
5,2,Anti-associate at vikos.com                                                                                                                                                                                                                                                                                                          ,112,113
5,1,Thank you and your residential address please                                                                                                                                                                                                                                                                                        ,114,118
5,2,I've got.                                                                                                                                                                                                                                                                                                                            ,119,124
5,2,27 slash.                                                                                                                                                                                                                                                                                                                            ,125,130
5,2,umm 120 collin street melbourne.                                                                                                                                                                                                                                                                                                     ,131,134
5,1,Thank you so much and how can help you today andrew.                                                                                                                                                                                                                                                                                 ,135,136
5,2,I called up last month because my card was going to expire in a few weeks and they said that we're gonna reissue my card the card to my my collin street address.                                                                                                                                                                    ,137,139
5,2,Yeah but it hasn't turned up and this card is now expired.                                                                                                                                                                                                                                                                           ,140,144
5,2,I'm wondering where.                                                                                                                                                                                                                                                                                                                 ,145,149
5,2,-hope didn't go to an old address                                                                                                                                                                                                                                                                                                    ,150,154
5,1,ummm                                                                                                                                                                                                                                                                                                                                 ,155,158
5,1,I can see you were being issued for a new card into first of August however I can see the new car is already in transit.                                                                                                                                                                                                             ,159,162
5,1,You should be able to receive the new card by either by tomorrow or in the next couple of days.                                                                                                                                                                                                                                      ,163,166
5,1,So your address we                                                                                                                                                                                                                                                                                                                   ,167,169
5,2,Have here on this                                                                                                                                                                                                                                                                                                                    ,170,174
5,1,File is yes.                                                                                                                                                                                                                                                                                                                         ,175,177
5,1,Is it at 120 Colin St. 27th floor at Melbourne Victoria.                                                                                                                                                                                                                                                                             ,178,183
5,1,3000,184,186
5,2,Correct.                                                                                                                                                                                                                                                                                                                             ,187,190
5,1,so you should be able to receive a card on the address we have on file again it's either tomorrow or in the next couple of days.                                                                                                                                                                                                     ,191,192
5,1,And it is it's already in transit.                                                                                                                                                                                                                                                                                                   ,193,195
5,2,thats great.                                                                                                                                                                                                                                                                                                                         ,196,199
5,2,Can you tell me what about my balance.                                                                                                                                                                                                                                                                                               ,200,203
5,1,I'm sure I can 20                                                                                                                                                                                                                                                                                                                    ,204,207
5,2,Seven                                                                                                                                                                                                                                                                                                                                ,208,211
5,1,Eight                                                                                                                                                                                                                                                                                                                                ,212,213
5,2,The.                                                                                                                                                                                                                                                                                                                                 ,214,218
5,1,It has $20.05.                                                                                                                                                                                                                                                                                                                       ,219,222
5,2,$20.05.                                                                                                                                                                                                                                                                                                                              ,223,225
5,2,No worriies.                                                                                                                                                                                                                                                                                                                         ,226,229
5,2,cool.                                                                                                                                                                                                                                                                                                                                ,230,232
5,2,Are all.                                                                                                                                                                                                                                                                                                                             ,233,235
5,2,Thank you for that.                                                                                                                                                                                                                                                                                                                  ,236,237
5,2,I'll give you a call back if it doesn't arrive this afternoon                                                                                                                                                                                                                                                                        ,238,242
5,1,Definitely And thank you for calling australia post load and go support.                                                                                                                                                                                                                                                             ,243,246
5,1,You have a wonderful day Andrew.                                                                                                                                                                                                                                                                                                     ,247,252
5,1,Bye-bye.                                                                                                                                                                                                                                                                                                                             ,253,257
5,2,'s.                                                                                                                                                                                                                                                                                                                                  ,258,260
5,2,Alright thank you.                                                                                                                                                                                                                                                                                                                   ,261,265
5,2,Bye-bye                                                                                                                                                                                                                                                                                                                              ,266,269
6,1,Welcome to Australia post load and go support my name's Archie may I have your card ID number please.                                                                                                                                                                                                                                ,1,11
6,2,Yeah.                                                                                                                                                                                                                                                                                                                                ,12,16
6,2,464-8623.                                                                                                                                                                                                                                                                                                                            ,17,18
6,1,I'm sorry can I have the one in the back please it's the 16th                                                                                                                                                                                                                                                                        ,19,20
6,2,The.                                                                                                                                                                                                                                                                                                                                 ,21,23
6,2,This is 16 digit one two for Three six                                                                                                                                                                                                                                                                                               ,24,29
6,2,379750,30,31
6,2,0 95415.                                                                                                                                                                                                                                                                                                                             ,32,34
6,1,Thank you so much and let me go ahead and pull up the account one moment please.                                                                                                                                                                                                                                                     ,35,36
6,2,alright                                                                                                                                                                                                                                                                                                                              ,37,38
6,1,can I  have the access code.                                                                                                                                                                                                                                                                                                         ,39,41
6,1,Please it's the six digit number                                                                                                                                                                                                                                                                                                     ,42,44
6,2,On the 13th of the second 79.                                                                                                                                                                                                                                                                                                        ,45,48
6,1,I'm sorry the access code.                                                                                                                                                                                                                                                                                                           ,49,54
6,2,I didn't get access access but that is that the                                                                                                                                                                                                                                                                                      ,55,57
6,1,The access code is the six digit number you nominate when  you purchased the card.                                                                                                                                                                                                                                                   ,58,62
6,2,Yes 13.                                                                                                                                                                                                                                                                                                                              ,63,64
6,2,8 279                                                                                                                                                                                                                                                                                                                                ,65,67
6,1,Oh thank you so much and how can help you today.                                                                                                                                                                                                                                                                                     ,68,72
6,2,I'm used this card once and they got the money taken that and then the ladies try because put some other stuff that I just tried to get it out and explain the put in they the pin did not match  that but the date ties of the cad.                                                                                                 ,73,74
6,2,I know I try to pay when it on PayPal.                                                                                                                                                                                                                                                                                               ,75,79
6,2,And it's telling me that it is not a matching at this card number and it's like I've got money I've got 100 and I think about 170 on it's a quick $30 on that yesterday.                                                                                                                                                             ,80,83
6,2,And I                                                                                                                                                                                                                                                                                                                                ,84,88
6,1,Yeah I can definitely see that one here you actually have a balance.                                                                                                                                                                                                                                                                 ,89,91
6,1,Well right now you actually have $21.03.                                                                                                                                                                                                                                                                                             ,92,93
6,2,Right on the 10th.                                                                                                                                                                                                                                                                                                                   ,94,98
6,2,So money come out of it                                                                                                                                                                                                                                                                                                              ,99,100
6,1,Yes um I believe you're referring to the one cents.                                                                                                                                                                                                                                                                                  ,101,104
6,1,He                                                                                                                                                                                                                                                                                                                                   ,105,110
6,2,Said yes and could you have one here in                                                                                                                                                                                                                                                                                              ,111,113
6,1,$57.32 so after that he now have $21.39.                                                                                                                                                                                                                                                                                             ,114,118
6,2,So that when you got.                                                                                                                                                                                                                                                                                                                ,119,121
6,1,Yeah it goes                                                                                                                                                                                                                                                                                                                         ,122,124
