ConversationIDDataImpl,SpeakerDataImpl,StartTimeDataImpl,EndTimeDataImpl,PlainTextDataImpl,SplitJointWordsDialoguePreProcessorImpl,ExpandContractionsDialoguePreProcessorImpl,RemoveNumericCharactersDialoguePreProcessorImpl,RemoveEmailsDialoguePreProcessorImpl,RemovePunctuationDialoguePreProcessorImpl,LowercaseDialoguePreProcessorImpl,RemoveStopWordsDialoguePreProcessorImpl,WordNetLemmatizerDialoguePreProcessorImpl
7,2,768,773,No worries Lucy thank you for calling australia post load and go and have a great,No worries Lucy thank you for calling australia post load and go and have a great,No worries Lucy thank you for calling australia post load and go and have a great,No worries Lucy thank you for calling australia post load and go and have a great,No worries Lucy thank you for calling australia post load and go and have a great,No worries Lucy thank you for calling australia post load and go and have a great,no worries lucy thank you for calling australia post load and go and have a great,worries lucy thank calling australia post load go great ,worry lucy thank call australia post load go great 
7,1,776,777,Day.,Day.,Day.,Day.,Day.,Day,day,day ,day 
7,1,778,781,Bye-bye.,Bye bye.,Bye bye.,Bye bye.,Bye bye.,Bye bye,bye bye,bye bye ,bye bye 
7,1,790,798,Bye-bye.,Bye bye.,Bye bye.,Bye bye.,Bye bye.,Bye bye,bye bye,bye bye ,bye bye 
7,1,801,808,'s,'s,'s,'s,'s,s,s,,
8,1,1,2,Hello.,Hello.,Hello.,Hello.,Hello.,Hello,hello,hello ,hello 
8,2,12,20,Hello Fiona this is Omar from Australia post loading go support how are you doing today.,Hello Fiona this is Omar from Australia post loading go support how are you doing today.,Hello Fiona this is Omar from Australia post loading go support how are you doing today.,Hello Fiona this is Omar from Australia post loading go support how are you doing today.,Hello Fiona this is Omar from Australia post loading go support how are you doing today.,Hello Fiona this is Omar from Australia post loading go support how are you doing today,hello fiona this is omar from australia post loading go support how are you doing today,hello fiona omar australia post loading go support today ,hello fiona omar australia post load go support today 
8,1,24,31,Yeah I'm good thank you.,Yeah I'm good thank you.,Yeah I'm good thank you.,Yeah I'm good thank you.,Yeah I'm good thank you.,Yeah Im good thank you,yeah im good thank you,yeah im good thank ,yeah im good thank 
8,2,40,46,Thank you very much so.,Thank you very much so.,Thank you very much so.,Thank you very much so.,Thank you very much so.,Thank you very much so,thank you very much so,thank much ,thank much 
8,2,51,54,If you have two minutes to talk I'll just it's in regards of your card reissue.,If you have two minutes to talk I'll just it's in regards of your card reissue.,If you have two minutes to talk I'll just it is in regards of your card reissue.,If you have #  minutes to talk I'll just it is in regards of your card reissue.,If you have #  minutes to talk I'll just it is in regards of your card reissue.,If you have   minutes to talk Ill just it is in regards of your card reissue,if you have   minutes to talk ill just it is in regards of your card reissue,minutes talk ill regards card reissue ,minutes talk ill regard card reissue 
8,1,62,72,Uh-huh.,Uh huh.,Uh huh.,Uh huh.,Uh huh.,Uh huh,uh huh,uh huh ,uh huh 
8,2,80,86,Yeah.,Yeah.,Yeah.,Yeah.,Yeah.,Yeah,yeah,yeah ,yeah 
8,2,95,101,So I've made a mistake when I've reissued your card.,So I've made a mistake when I've reissued your card.,So I've made a mistake when I've reissued your card.,So I've made a mistake when I've reissued your card.,So I've made a mistake when I've reissued your card.,So Ive made a mistake when Ive reissued your card,so ive made a mistake when ive reissued your card,ive made mistake ive reissued card ,ive make mistake ive reissue card 
8,2,110,117,I've reissued without updating the expiry date Fiona.,I've reissued without updating the expiry date Fiona.,I've reissued without updating the expiry date Fiona.,I've reissued without updating the expiry date Fiona.,I've reissued without updating the expiry date Fiona.,Ive reissued without updating the expiry date Fiona,ive reissued without updating the expiry date fiona,ive reissued without updating expiry date fiona ,ive reissue without update expiry date fiona 
8,2,126,129,I do apologize for my mistake.,I do apologize for my mistake.,I do apologize for my mistake.,I do apologize for my mistake.,I do apologize for my mistake.,I do apologize for my mistake,i do apologize for my mistake,apologize mistake ,apologize mistake 
8,2,134,138,I'm calling you back to advise you that I will be reissuing your card today.,I'm calling you back to advise you that I will be reissuing your card today.,I'm calling you back to advise you that I will be reissuing your card today.,I'm calling you back to advise you that I will be reissuing your card today.,I'm calling you back to advise you that I will be reissuing your card today.,Im calling you back to advise you that I will be reissuing your card today,im calling you back to advise you that i will be reissuing your card today,im calling back advise reissuing card today ,im call back advise reissue card today 
8,2,148,152,But this time.,But this time.,But this time.,But this time.,But this time.,But this time,but this time,time ,time 
8,2,162,167,I Choose the right option and update your expiry date so I'm just calling you to advise you of that and to apologize for my mistake.,I Choose the right option and update your expiry date so I'm just calling you to advise you of that and to apologize for my mistake.,I Choose the right option and update your expiry date so I'm just calling you to advise you of that and to apologize for my mistake.,I Choose the right option and update your expiry date so I'm just calling you to advise you of that and to apologize for my mistake.,I Choose the right option and update your expiry date so I'm just calling you to advise you of that and to apologize for my mistake.,I Choose the right option and update your expiry date so Im just calling you to advise you of that and to apologize for my mistake,i choose the right option and update your expiry date so im just calling you to advise you of that and to apologize for my mistake,choose right option update expiry date im calling advise apologize mistake ,choose right option update expiry date im call advise apologize mistake 
8,1,171,174,"Ok so, there willl be one that will come with the wrong expiry date and there will be another one coming again you say                                                                                                                                                                                                             ","Ok so, there willl be one that will come with the wrong expiry date and there will be another one coming again you say                                                                                                                                                                                                             ","Ok so, there willl be one that will come with the wrong expiry date and there will be another one coming again you say                                                                                                                                                                                                             ","Ok so, there willl be #  that will come with the wrong expiry date and there will be another #  coming again you say                                                                                                                                                                                                             ","Ok so, there willl be #  that will come with the wrong expiry date and there will be another #  coming again you say                                                                                                                                                                                                             ",Ok so there willl be   that will come with the wrong expiry date and there will be another   coming again you say                                                                                                                                                                                                             ,ok so there willl be   that will come with the wrong expiry date and there will be another   coming again you say                                                                                                                                                                                                             ,ok willl come wrong expiry date another coming say  ,ok willl come wrong expiry date another come say 
8,2,181,189,Exactly Fiona.,Exactly Fiona.,Exactly Fiona.,Exactly Fiona.,Exactly Fiona.,Exactly Fiona,exactly fiona,exactly fiona ,exactly fiona 
8,2,198,202,Yeah.,Yeah.,Yeah.,Yeah.,Yeah.,Yeah,yeah,yeah ,yeah 
8,1,210,213,Okay then.,Okay then.,Okay then.,Okay then.,Okay then.,Okay then,okay then,okay ,okay 
8,2,218,221,Thank you very much for your comprehension and I wish you a great day Fiona.,Thank you very much for your comprehension and I wish you a great day Fiona.,Thank you very much for your comprehension and I wish you a great day Fiona.,Thank you very much for your comprehension and I wish you a great day Fiona.,Thank you very much for your comprehension and I wish you a great day Fiona.,Thank you very much for your comprehension and I wish you a great day Fiona,thank you very much for your comprehension and i wish you a great day fiona,thank much comprehension wish great day fiona ,thank much comprehension wish great day fiona 
8,1,222,228,Ok then thank you.,Ok then thank you.,Ok then thank you.,Ok then thank you.,Ok then thank you.,Ok then thank you,ok then thank you,ok thank ,ok thank 
8,1,230,238,Thank you bye-bye.,Thank you bye bye.,Thank you bye bye.,Thank you bye bye.,Thank you bye bye.,Thank you bye bye,thank you bye bye,thank bye bye ,thank bye bye 
8,1,246,248,Bye,Bye,Bye,Bye,Bye,Bye,bye,bye ,bye 
9,1,1,8,Hi.,Hi.,Hi.,Hi.,Hi.,Hi,hi,hi ,hi 
9,1,18,23,The person you have a called is not available please leave a short 10 seconds message after the tone.,The person you have a called is not available please leave a short 10 seconds message after the tone.,The person you have a called is not available please leave a short 10 seconds message after the tone.,The person you have a called is not available please leave a short #  seconds message after the tone.,The person you have a called is not available please leave a short #  seconds message after the tone.,The person you have a called is not available please leave a short   seconds message after the tone,the person you have a called is not available please leave a short   seconds message after the tone,person called available please leave short seconds message tone ,person call available please leave short second message tone 
9,1,26,27,And we'll send the message as a text.,And we'll send the message as a text.,And we will send the message as a text.,And we will send the message as a text.,And we will send the message as a text.,And we will send the message as a text,and we will send the message as a text,send message text ,send message text 
9,2,29,38,Hey Alison this is ghulam I'm calling from Australia post load and go support.,Hey Alison this is ghulam I'm calling from Australia post load and go support.,Hey Alison this is ghulam I'm calling from Australia post load and go support.,Hey Alison this is ghulam I'm calling from Australia post load and go support.,Hey Alison this is ghulam I'm calling from Australia post load and go support.,Hey Alison this is ghulam Im calling from Australia post load and go support,hey alison this is ghulam im calling from australia post load and go support,hey alison ghulam im calling australia post load go support ,hey alison ghulam im call australia post load go support 
9,2,44,48,I'm at your earliest convenience can you please get in touch with us,I'm at your earliest convenience can you please get in touch with us,I'm at your earliest convenience can you please get in touch with us,I'm at your earliest convenience can you please get in touch with us,I'm at your earliest convenience can you please get in touch with us,Im at your earliest convenience can you please get in touch with us,im at your earliest convenience can you please get in touch with us,im earliest convenience please get touch us ,im earliest convenience please get touch us 
9,1,54,55,Your voice message is being converted to text it will be sent as an SMS.,Your voice message is being converted to text it will be sent as an SMS.,Your voice message is being converted to text it will be sent as an SMS.,Your voice message is being converted to text it will be sent as an SMS.,Your voice message is being converted to text it will be sent as an SMS.,Your voice message is being converted to text it will be sent as an SMS,your voice message is being converted to text it will be sent as an sms,voice message converted text sent sms ,voice message convert text send sms 
9,1,64,74,Thanks for using toasters message to text service,Thanks for using toasters message to text service,Thanks for using toasters message to text service,Thanks for using toasters message to text service,Thanks for using toasters message to text service,Thanks for using toasters message to text service,thanks for using toasters message to text service,thanks using toasters message text service ,thank use toasters message text service 
10,0,1,10,Thank you for calling direct express card services my name is merry may have your name please.,Thank you for calling direct express card services my name is merry may have your name please.,Thank you for calling direct express card services my name is merry may have your name please.,Thank you for calling direct express card services my name is merry #  have your name please.,Thank you for calling direct express card services my name is merry #  have your name please.,Thank you for calling direct express card services my name is merry   have your name please,thank you for calling direct express card services my name is merry   have your name please,thank calling direct express card services name merry name please ,thank call direct express card service name merry name please 
10,2,18,24,Hello my name L. hay Seuss.,Hello my name L. hay Seuss.,Hello my name L. hay Seuss.,Hello my name L. hay Seuss.,Hello my name L. hay Seuss.,Hello my name L hay Seuss,hello my name l hay seuss,hello name l hay seuss ,hello name l hay seuss 
10,0,31,36,The last four digits of your card number.,The last four digits of your card number.,The last four digits of your card number.,The last #  digits of your card number.,The last #  digits of your card number.,The last   digits of your card number,the last   digits of your card number,last digits card number ,last digits card number 
10,2,41,49,Zero six two six.,Zero six two six.,Zero six two six.,Zero #  #  # .,Zero #  #  # .,Zero      ,zero      ,zero  ,zero 
10,0,52,61,The last four digits of your social security number.,The last four digits of your social security number.,The last four digits of your social security number.,The last #  digits of your social security number.,The last #  digits of your social security number.,The last   digits of your social security number,the last   digits of your social security number,last digits social security number ,last digits social security number 
10,2,71,78,Two eight six.,Two eight six.,Two eight six.,Two #  # .,Two #  # .,Two    ,two    ,two  ,two 
10,0,84,85,And your date of birth.,And your date of birth.,And your date of birth.,And your date of birth.,And your date of birth.,And your date of birth,and your date of birth,date birth ,date birth 
10,2,86,95,Six to nineteen forty five.,Six to nineteen forty five.,Six to nineteen forty five.,Six to #  #  # .,Six to #  #  # .,Six to      ,six to      ,six  ,six 
10,0,99,107,Thank you for that information.,Thank you for that information.,Thank you for that information.,Thank you for that information.,Thank you for that information.,Thank you for that information,thank you for that information,thank information ,thank information 
10,0,115,121,I'm just going to check to see if your car profilers updated and then share some information with you today.,I'm just going to check to see if your car profilers updated and then share some information with you today.,I'm just going to check to see if your car profilers updated and then share some information with you today.,I'm just going to check to see if your car profilers updated and then share some information with you today.,I'm just going to check to see if your car profilers updated and then share some information with you today.,Im just going to check to see if your car profilers updated and then share some information with you today,im just going to check to see if your car profilers updated and then share some information with you today,im going check see car profilers updated share information today ,im go check see car profilers update share information today 
10,2,127,130,Okay well I just got a new car and I just packed I got a question so go ahead.,Okay well I just got a new car and I just packed I got a question so go ahead.,Okay well I just got a new car and I just packed I got a question so go ahead.,Okay well I just got a new car and I just packed I got a question so go ahead.,Okay well I just got a new car and I just packed I got a question so go ahead.,Okay well I just got a new car and I just packed I got a question so go ahead,okay well i just got a new car and i just packed i got a question so go ahead,okay well got new car packed got question go ahead ,okay well get new car pack get question go ahead 
10,0,139,144,Do you have a mobile phone number Tony.,Do you have a mobile phone number Tony.,Do you have a mobile phone number Tony.,Do you have a mobile phone number Tony.,Do you have a mobile phone number Tony.,Do you have a mobile phone number Tony,do you have a mobile phone number tony,mobile phone number tony ,mobile phone number tony 
10,2,153,160,Cell phone.,Cell phone.,Cell phone.,Cell phone.,Cell phone.,Cell phone,cell phone,cell phone ,cell phone 
10,0,162,168,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,yes,yes ,yes 
10,2,177,182,Six one.,Six one.,Six one.,Six # .,Six # .,Six  ,six  ,six  ,six 
10,0,192,199,Eight.,Eight.,Eight.,Eight.,Eight.,Eight,eight,eight ,eight 
10,2,208,214,Seven oh seven.,Seven oh seven.,Seven oh seven.,Seven oh # .,Seven oh # .,Seven oh  ,seven oh  ,seven oh  ,seven oh 
10,0,221,222,Oh wait six four eight.,Oh wait six four eight.,Oh wait six four eight.,Oh wait #  #  # .,Oh wait #  #  # .,Oh wait      ,oh wait      ,oh wait  ,oh wait 
10,2,230,234,Seven oh seven.,Seven oh seven.,Seven oh seven.,Seven oh # .,Seven oh # .,Seven oh  ,seven oh  ,seven oh  ,seven oh 
10,2,240,243,Fifty six eighty five.,Fifty six eighty five.,Fifty six eighty five.,Fifty #  #  # .,Fifty #  #  # .,Fifty      ,fifty      ,fifty  ,fifty 
10,0,252,260,Do you have an email address.,Do you have an email address.,Do you have an email address.,Do you have an email address.,Do you have an email address.,Do you have an email address,do you have an email address,email address ,email address 
10,2,264,270,Hi David I don't do email I don't remember I have to look at that.,Hi David I don't do email I don't remember I have to look at that.,Hi David I do not do email I do not remember I have to look at that.,Hi David I do not do email I do not remember I have to look at that.,Hi David I do not do email I do not remember I have to look at that.,Hi David I do not do email I do not remember I have to look at that,hi david i do not do email i do not remember i have to look at that,hi david email remember look ,hi david email remember look 
10,0,278,281,Okay that's fine I'll update this phone number.,Okay that's fine I'll update this phone number.,Okay that is fine I'll update this phone number.,Okay that is fine I'll update this phone number.,Okay that is fine I'll update this phone number.,Okay that is fine Ill update this phone number,okay that is fine ill update this phone number,okay fine ill update phone number ,okay fine ill update phone number 
10,0,282,284,Before I share this information with you what questions you have for me today.,Before I share this information with you what questions you have for me today.,Before I share this information with you what questions you have for me today.,Before I share this information with you what questions you have for me today.,Before I share this information with you what questions you have for me today.,Before I share this information with you what questions you have for me today,before i share this information with you what questions you have for me today,share information questions today ,share information question today 
10,2,294,300,Well I just activated it.,Well I just activated it.,Well I just activated it.,Well I just activated it.,Well I just activated it.,Well I just activated it,well i just activated it,well activated ,well activate 
10,2,309,312,And.,And.,And.,And.,And.,And,and,,
10,2,321,330,They said in June I had a deposit of one thousand four hundred sixty one dollars.,They said in June I had a deposit of one thousand four hundred sixty one dollars.,They said in June I had a deposit of one thousand four hundred sixty one dollars.,They said in June I had a deposit of #  #  #  #  #  #  dollars.,They said in June I had a deposit of #  #  #  #  #  #  dollars.,They said in June I had a deposit of             dollars,they said in june i had a deposit of             dollars,said june deposit dollars ,say june deposit dollars 
10,2,340,346,How much do I have on that account ma'am.,How much do I have on that account ma'am.,How much do I have on that account madam.,How much do I have on that account madam.,How much do I have on that account madam.,How much do I have on that account madam,how much do i have on that account madam,much account madam ,much account madam 
10,0,352,362,I show you have a balance of ninety three cents.,I show you have a balance of ninety three cents.,I show you have a balance of ninety three cents.,I show you have a balance of #  #  cents.,I show you have a balance of #  #  cents.,I show you have a balance of     cents,i show you have a balance of     cents,show balance cents ,show balance cents 
10,2,365,370,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
10,2,378,382,And then I'll get my social security on the tent.,And then I'll get my social security on the tent.,And then I'll get my social security on the tent.,And then I'll get my social security on the tent.,And then I'll get my social security on the tent.,And then Ill get my social security on the tent,and then ill get my social security on the tent,ill get social security tent ,ill get social security tent 
10,0,388,391,On the tenth I show a pending deposit for one thousand four hundred sixty one.,On the tenth I show a pending deposit for one thousand four hundred sixty one.,On the tenth I show a pending deposit for one thousand four hundred sixty one.,On the tenth I show a pending deposit for #  #  #  #  #  # .,On the tenth I show a pending deposit for #  #  #  #  #  # .,On the tenth I show a pending deposit for            ,on the tenth i show a pending deposit for            ,tenth show pending deposit  ,tenth show pending deposit 
10,2,392,401,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
10,0,404,409,Okay so I'm going to share some information with you today.,Okay so I'm going to share some information with you today.,Okay so I'm going to share some information with you today.,Okay so I'm going to share some information with you today.,Okay so I'm going to share some information with you today.,Okay so Im going to share some information with you today,okay so im going to share some information with you today,okay im going share information today ,okay im go share information today 
10,2,418,427,We.,We.,We.,We.,We.,We,we,,
10,0,433,435,We want to thank you and extend a warm welcome to you for being part of the direct express program we have updated our systems to provide you better service as always you can use your card or MasterCard is accepted this includes making purchases setting up automatic bill payments for utilities and smartphones.,We want to thank you and extend a warm welcome to you for being part of the direct express program we have updated our systems to provide you better service as always you can use your card or MasterCard is accepted this includes making purchases setting up automatic bill payments for utilities and smartphones.,We want to thank you and extend a warm welcome to you for being part of the direct express program we have updated our systems to provide you better service as always you can use your card or MasterCard is accepted this includes making purchases setting up automatic bill payments for utilities and smartphones.,We want to thank you and extend a warm welcome to you for being part of the direct express program we have updated our systems to provide you better service as always you can use your card or MasterCard is accepted this includes making purchases setting up automatic bill payments for utilities and smartphones.,We want to thank you and extend a warm welcome to you for being part of the direct express program we have updated our systems to provide you better service as always you can use your card or MasterCard is accepted this includes making purchases setting up automatic bill payments for utilities and smartphones.,We want to thank you and extend a warm welcome to you for being part of the direct express program we have updated our systems to provide you better service as always you can use your card or MasterCard is accepted this includes making purchases setting up automatic bill payments for utilities and smartphones,we want to thank you and extend a warm welcome to you for being part of the direct express program we have updated our systems to provide you better service as always you can use your card or mastercard is accepted this includes making purchases setting up automatic bill payments for utilities and smartphones,want thank extend warm welcome part direct express program updated systems provide better service always use card mastercard accepted includes making purchases setting automatic bill payments utilities smartphones ,want thank extend warm welcome part direct express program update systems provide better service always use card mastercard accept include make purchase set automatic bill payments utilities smartphones 
10,0,439,445,Well as a team what draws let me sure three features available to you we have the direct express cast Texas we Jr which allows you to go to any Walmart location and access cash from your card without making a purchase for a fee of a dollar fifty.,Well as a team what draws let me sure three features available to you we have the direct express cast Texas we Jr which allows you to go to any Walmart location and access cash from your card without making a purchase for a fee of a dollar fifty.,Well as a team what draws let me sure three features available to you we have the direct express cast Texas we Jr which allows you to go to any Walmart location and access cash from your card without making a purchase for a fee of a dollar fifty.,Well as a team what draws let me sure #  features available to you we have the direct express cast Texas we Jr which allows you to go to any Walmart location and access cash from your card without making a purchase for a fee of a dollar # .,Well as a team what draws let me sure #  features available to you we have the direct express cast Texas we Jr which allows you to go to any Walmart location and access cash from your card without making a purchase for a fee of a dollar # .,Well as a team what draws let me sure   features available to you we have the direct express cast Texas we Jr which allows you to go to any Walmart location and access cash from your card without making a purchase for a fee of a dollar  ,well as a team what draws let me sure   features available to you we have the direct express cast texas we jr which allows you to go to any walmart location and access cash from your card without making a purchase for a fee of a dollar  ,well team draws let sure features available direct express cast texas jr allows go walmart location access cash card without making purchase fee dollar  ,well team draw let sure feature available direct express cast texas jr allow go walmart location access cash card without make purchase fee dollar 
10,0,454,459,You can enjoy the new card holder website to access your card information.,You can enjoy the new card holder website to access your card information.,You can enjoy the new card holder website to access your card information.,You can enjoy the new card holder website to access your card information.,You can enjoy the new card holder website to access your card information.,You can enjoy the new card holder website to access your card information,you can enjoy the new card holder website to access your card information,enjoy new card holder website access card information ,enjoy new card holder website access card information 
10,2,465,466,What he's saying now about going.,What he's saying now about going.,What he is saying now about going.,What he is saying now about going.,What he is saying now about going.,What he is saying now about going,what he is saying now about going,saying going ,say go 
10,2,467,477,For free the last.,For free the last.,For free the last.,For free the last.,For free the last.,For free the last,for free the last,free last ,free last 
10,0,483,486,Walmart you can go to you can go to any Walmart money center and access up to two thousand dollars in cash for a fee of a dollar fifty.,Walmart you can go to you can go to any Walmart money center and access up to two thousand dollars in cash for a fee of a dollar fifty.,Walmart you can go to you can go to any Walmart money center and access up to two thousand dollars in cash for a fee of a dollar fifty.,Walmart you can go to you can go to any Walmart money center and access up to #  #  dollars in cash for a fee of a dollar # .,Walmart you can go to you can go to any Walmart money center and access up to #  #  dollars in cash for a fee of a dollar # .,Walmart you can go to you can go to any Walmart money center and access up to     dollars in cash for a fee of a dollar  ,walmart you can go to you can go to any walmart money center and access up to     dollars in cash for a fee of a dollar  ,walmart go go walmart money center access dollars cash fee dollar  ,walmart go go walmart money center access dollars cash fee dollar 
10,2,487,490,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
10,0,495,497,That's just at Walmart you can go into any banking get a withdrawal for free though.,That's just at Walmart you can go into any banking get a withdrawal for free though.,That's just at Walmart you can go into any banking get a withdrawal for free though.,That's just at Walmart you can go into any banking get a withdrawal for free though.,That's just at Walmart you can go into any banking get a withdrawal for free though.,Thats just at Walmart you can go into any banking get a withdrawal for free though,thats just at walmart you can go into any banking get a withdrawal for free though,thats walmart go banking get withdrawal free though ,thats walmart go bank get withdrawal free though 
10,2,502,512,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
10,0,517,522,So you can enjoy the new card holder website.,So you can enjoy the new card holder website.,So you can enjoy the new card holder website.,So you can enjoy the new card holder website.,So you can enjoy the new card holder website.,So you can enjoy the new card holder website,so you can enjoy the new card holder website,enjoy new card holder website ,enjoy new card holder website 
10,0,524,528,I'm sorry.,I'm sorry.,I'm sorry.,I'm sorry.,I'm sorry.,Im sorry,im sorry,im sorry ,im sorry 
10,2,534,539,Your your your you know.,Your your your you know.,Your your your you know.,Your your your you know.,Your your your you know.,Your your your you know,your your your you know,know ,know 
10,2,549,554,And when you your brain telling her your body telling your brain you need oxygen.,And when you your brain telling her your body telling your brain you need oxygen.,And when you your brain telling her your body telling your brain you need oxygen.,And when you your brain telling her your body telling your brain you need oxygen.,And when you your brain telling her your body telling your brain you need oxygen.,And when you your brain telling her your body telling your brain you need oxygen,and when you your brain telling her your body telling your brain you need oxygen,brain telling body telling brain need oxygen ,brain tell body tell brain need oxygen 
10,0,564,566,That I must need a lot of oxygen today.,That I must need a lot of oxygen today.,That I must need a lot of oxygen today.,That I must need a lot of oxygen today.,That I must need a lot of oxygen today.,That I must need a lot of oxygen today,that i must need a lot of oxygen today,must need lot oxygen today ,must need lot oxygen today 
10,2,568,572,I know one person who was younger who bonded.,I know one person who was younger who bonded.,I know one person who was younger who bonded.,I know #  person who was younger who bonded.,I know #  person who was younger who bonded.,I know   person who was younger who bonded,i know   person who was younger who bonded,know person younger bonded ,know person younger bond 
10,0,577,585,Yeah I know that and I've been having a hard I've been having a hard time today and I do apologize for that.,Yeah I know that and I've been having a hard I've been having a hard time today and I do apologize for that.,Yeah I know that and I've been having a hard I've been having a hard time today and I do apologize for that.,Yeah I know that and I've been having a hard I've been having a hard time today and I do apologize for that.,Yeah I know that and I've been having a hard I've been having a hard time today and I do apologize for that.,Yeah I know that and Ive been having a hard Ive been having a hard time today and I do apologize for that,yeah i know that and ive been having a hard ive been having a hard time today and i do apologize for that,yeah know ive hard ive hard time today apologize ,yeah know ive hard ive hard time today apologize 
10,2,590,595,Well I'm I'm very smart all.,Well I'm I'm very smart all.,Well I'm I'm very smart all.,Well I'm I'm very smart all.,Well I'm I'm very smart all.,Well Im Im very smart all,well im im very smart all,well im im smart ,well im im smart 
10,2,599,607,Okay.,Okay.,Okay.,Okay.,Okay.,Okay,okay,okay ,okay 
10,0,608,616,Okay so you can enjoy your new card holder website to access your card information check your balances view and print your transactions and make changes to your personal information you may also set up alerts notifying you of opposed to deposit low balance transaction activity in changing pin.,Okay so you can enjoy your new card holder website to access your card information check your balances view and print your transactions and make changes to your personal information you may also set up alerts notifying you of opposed to deposit low balance transaction activity in changing pin.,Okay so you can enjoy your new card holder website to access your card information check your balances view and print your transactions and make changes to your personal information you may also set up alerts notifying you of opposed to deposit low balance transaction activity in changing pin.,Okay so you can enjoy your new card holder website to access your card information check your balances view and print your transactions and make changes to your personal information you #  also set up alerts notifying you of opposed to deposit low balance transaction activity in changing pin.,Okay so you can enjoy your new card holder website to access your card information check your balances view and print your transactions and make changes to your personal information you #  also set up alerts notifying you of opposed to deposit low balance transaction activity in changing pin.,Okay so you can enjoy your new card holder website to access your card information check your balances view and print your transactions and make changes to your personal information you   also set up alerts notifying you of opposed to deposit low balance transaction activity in changing pin,okay so you can enjoy your new card holder website to access your card information check your balances view and print your transactions and make changes to your personal information you   also set up alerts notifying you of opposed to deposit low balance transaction activity in changing pin,okay enjoy new card holder website access card information check balances view print transactions make changes personal information also set alerts notifying opposed deposit low balance transaction activity changing pin ,okay enjoy new card holder website access card information check balance view print transactions make change personal information also set alert notify oppose deposit low balance transaction activity change pin 
10,0,618,626,You can go to our website at W. W. W. dot U. S. direct express dot com.,You can go to our website at W. W. W. dot U. S. direct express dot com.,You can go to our website at W. W. W. dot U. S. direct express dot com.,You can go to our website at W. W. W. dot U. S. direct express dot com.,You can go to our website at W. W. W.@ . S. direct @ .,You can go to our website at W W W  S direct  ,you can go to our website at w w w  s direct  ,go website w w w direct  ,go website w w w direct 
10,0,634,641,Please be sure to select the card beginning with the five one.,Please be sure to select the card beginning with the five one.,Please be sure to select the card beginning with the five one.,Please be sure to select the card beginning with the #  # .,Please be sure to select the card beginning with the #  # .,Please be sure to select the card beginning with the    ,please be sure to select the card beginning with the    ,please sure select card beginning  ,please sure select card begin 
10,0,646,649,Also you can perform various activities using our automated phone system such as card activation pin changes balance inquire reason listener transaction details our friendly agents are available to you twenty four seven three sixty five.,Also you can perform various activities using our automated phone system such as card activation pin changes balance inquire reason listener transaction details our friendly agents are available to you twenty four seven three sixty five.,Also you can perform various activities using our automated phone system such as card activation pin changes balance inquire reason listener transaction details our friendly agents are available to you twenty four seven three sixty five.,Also you can perform various activities using our automated phone system such as card activation pin changes balance inquire reason listener transaction details our friendly agents are available to you #  #  #  #  #  # .,Also you can perform various activities using our automated phone system such as card activation pin changes balance inquire reason listener transaction details our friendly agents are available to you #  #  #  #  #  # .,Also you can perform various activities using our automated phone system such as card activation pin changes balance inquire reason listener transaction details our friendly agents are available to you            ,also you can perform various activities using our automated phone system such as card activation pin changes balance inquire reason listener transaction details our friendly agents are available to you            ,also perform various activities using automated phone system card activation pin changes balance inquire reason listener transaction details friendly agents available  ,also perform various activities use automate phone system card activation pin change balance inquire reason listener transaction detail friendly agents available 
10,0,650,659,Coming soon we have a new mobile app to help you stay connected with your card account anytime anywhere we will soon be offering a card holder from the mobile app again we are happy to welcome me to the direct express program and believe your finder features and benefits convenient easy to use.,Coming soon we have a new mobile app to help you stay connected with your card account anytime anywhere we will soon be offering a card holder from the mobile app again we are happy to welcome me to the direct express program and believe your finder features and benefits convenient easy to use.,Coming soon we have a new mobile app to help you stay connected with your card account anytime anywhere we will soon be offering a card holder from the mobile app again we are happy to welcome me to the direct express program and believe your finder features and benefits convenient easy to use.,Coming soon we have a new mobile app to help you stay connected with your card account anytime anywhere we will soon be offering a card holder from the mobile app again we are happy to welcome me to the direct express program and believe your finder features and benefits convenient easy to use.,Coming soon we have a new mobile app to help you stay connected with your card account anytime anywhere we will soon be offering a card holder from the mobile app again we are happy to welcome me to the direct express program and believe your finder features and benefits convenient easy to use.,Coming soon we have a new mobile app to help you stay connected with your card account anytime anywhere we will soon be offering a card holder from the mobile app again we are happy to welcome me to the direct express program and believe your finder features and benefits convenient easy to use,coming soon we have a new mobile app to help you stay connected with your card account anytime anywhere we will soon be offering a card holder from the mobile app again we are happy to welcome me to the direct express program and believe your finder features and benefits convenient easy to use,coming soon new mobile app help stay connected card account anytime anywhere soon offering card holder mobile app happy welcome direct express program believe finder features benefits convenient easy use ,come soon new mobile app help stay connect card account anytime anywhere soon offer card holder mobile app happy welcome direct express program believe finder feature benefit convenient easy use 
